date,price
2016-03-01,36.914165199400934
2016-03-02,36.727487889263976
2016-03-03,36.8251916673984
2016-03-04,36.23282581240055
2016-03-05,35.619277666120894
2016-03-06,36.20018793235245
2016-03-07,36.30379446367222
2016-03-08,36.32271234026437
2016-03-09,37.42106715342066
2016-03-10,37.470606663913905
2016-03-11,37.82129709948901
2016-03-12,37.96804128824451
2016-03-13,38.64595118416785
2016-03-14,37.801544520224645
2016-03-15,38.11284122602233
2016-03-16,38.037168031105686
2016-03-17,37.57989772417147
2016-03-18,36.71358777092889
2016-03-19,36.465810827231614
2016-03-20,36.766721984220965
2016-03-21,37.3770426378074
2016-03-22,37.591498926476156
2016-03-23,38.17991939606832
2016-03-24,37.46242202946718
2016-03-25,37.340046871421976
2016-03-26,37.51183801421504
2016-03-27,37.939802785332354
2016-03-28,38.20885868151759
2016-03-29,37.658245062198745
2016-03-30,37.450989491498426
2016-03-31,37.47362614475833
2016-04-01,37.697080994026095
2016-04-02,37.91552508797629
2016-04-03,37.791360055988434
2016-04-04,37.773782537636116
2016-04-05,37.71821385970897
2016-04-06,37.7158649129536
2016-04-07,37.36171183292677
2016-04-08,37.036820589254106
2016-04-09,36.85431247465967
2016-04-10,36.75328865367381
2016-04-11,36.83157915716395
2016-04-12,36.67500409624324
2016-04-13,36.7017175180357
2016-04-14,37.02163664516082
2016-04-15,37.333408114945136
2016-04-16,37.58762522316897
2016-04-17,37.68179107863303
2016-04-18,37.66724289605735
2016-04-19,38.18764672215268
2016-04-20,38.55186807468385
2016-04-21,39.15043790560043
2016-04-22,38.74763132215249
2016-04-23,39.30815246328857
2016-04-24,39.81663075818449
2016-04-25,39.812907752933015
2016-04-26,40.235065649103454
2016-04-27,38.54452325817261
2016-04-28,38.67693093917868
2016-04-29,39.323918864731844
2016-04-30,39.20872498175078
2016-05-01,39.56519387431944
2016-05-02,39.442088480350364
2016-05-03,39.556903636756616
2016-05-04,39.33419862851758
2016-05-05,39.61488010822782
2016-05-06,40.42326839408162
2016-05-07,40.32942840399906
2016-05-08,40.376945112445156
2016-05-09,40.53437858027329
2016-05-10,39.60215467835543
2016-05-11,40.00352694719894
2016-05-12,40.239253492513754
2016-05-13,40.54976611729768
2016-05-14,40.36633633092444
2016-05-15,40.483796328921215
2016-05-16,40.72043220924185
2016-05-17,40.93917805118204
2016-05-18,41.48566634576271
2016-05-19,41.030086701018426
2016-05-20,40.75323461456643
2016-05-21,40.97913543399893
2016-05-22,40.73868995564136
2016-05-23,40.692859535673044
2016-05-24,40.67458295040808
2016-05-25,40.857677480061945
2016-05-26,41.21699937371875
2016-05-27,42.346976376660656
2016-05-28,46.70801126698754
2016-05-29,46.660255040525854
2016-05-30,47.588462066999924
2016-05-31,47.891234052205895
2016-06-01,48.456128663608894
2016-06-02,48.40680012896593
2016-06-03,50.88322518870539
2016-06-04,51.057273854556506
2016-06-05,51.24772369932394
2016-06-06,52.11991731336503
2016-06-07,51.744078303477885
2016-06-08,52.13380248902958
2016-06-09,51.7178054310462
2016-06-10,51.67677621389173
2016-06-11,53.125428864345245
2016-06-12,59.50249107861429
2016-06-13,62.739293069842454
2016-06-14,62.01537216031173
2016-06-15,62.43595885249293
2016-06-16,68.81827366752685
2016-06-17,65.58510322181719
2016-06-18,64.45567439990793
2016-06-19,65.47015679912235
2016-06-20,62.9347401268241
2016-06-21,57.990927710352295
2016-06-22,52.18001956839578
2016-06-23,54.927022002285106
2016-06-24,58.05730195830146
2016-06-25,58.53892721188951
2016-06-26,55.54934081350997
2016-06-27,57.037046840985745
2016-06-28,56.34455710356337
2016-06-29,55.83468446181737
2016-06-30,58.65381871998685
2016-07-01,58.813591050132246
2016-07-02,59.856681229948215
2016-07-03,57.608766952092225
2016-07-04,58.656396608818405
2016-07-05,57.38985897571437
2016-07-06,58.03948816344598
2016-07-07,54.92847481403168
2016-07-08,57.58204865327394
2016-07-09,56.50345277447877
2016-07-10,56.224924746460715
2016-07-11,55.95305755296199
2016-07-12,57.64775025086197
2016-07-13,56.63083003537562
2016-07-14,57.0509533931684
2016-07-15,57.569079956048746
2016-07-16,57.578217763957824
2016-07-17,58.56891834629742
2016-07-18,58.169299761165284
2016-07-19,58.37218896925285
2016-07-20,58.3231138804033
2016-07-21,58.09056743648628
2016-07-22,57.647091023371416
2016-07-23,58.01566289684661
2016-07-24,57.792429161881415
2016-07-25,57.70912961121221
2016-07-26,56.59259732714983
2016-07-27,57.39971970936983
2016-07-28,57.394837871963645
2016-07-29,57.54922011671468
2016-07-30,57.222594581575116
2016-07-31,54.53948859200375
2016-08-01,52.76485485908511
2016-08-02,44.80345468977004
2016-08-03,49.46104914603176
2016-08-04,50.53819310530772
2016-08-05,50.5671038377027
2016-08-06,51.441041096123676
2016-08-07,51.81010409227373
2016-08-08,51.77634612264142
2016-08-09,51.7617570522434
2016-08-10,52.30656739113754
2016-08-11,51.89959571369461
2016-08-12,51.80611809009384
2016-08-13,51.47527722217677
2016-08-14,50.2626182276472
2016-08-15,50.02716729646225
2016-08-16,50.46787614492259
2016-08-17,50.147401723388995
2016-08-18,50.224084071307146
2016-08-19,50.3196751426421
2016-08-20,51.1999181075418
2016-08-21,51.05752128201149
2016-08-22,51.368919773629415
2016-08-23,51.17529659367657
2016-08-24,50.84963618791691
2016-08-25,50.83904817550104
2016-08-26,50.96937093258133
2016-08-27,50.1679922324805
2016-08-28,50.45732591988133
2016-08-29,50.422077653638155
2016-08-30,50.8117778586855
2016-08-31,50.590775029302854
2016-09-01,50.78755907262815
2016-09-02,51.009879799396714
